
Replication	FitnessValue	Frequency	PLoss	QLoss
Replication0	 -1.45376	0.99936	0.00918	0.02576
Replication1	 0.00151	0.99937	0.96577 	0.97084 	0.97568 	0.97581 	0.97261 	0.98798 	0.96079 	0.95321 	0.96897 	0.95303 	0.97111 	0.96802 	-0.15597 	-0.15387 	-0.16907 	0.35861 	0.01262 	0.20609 	-0.14163 	-0.13586 	0.02293 	-0.15006 	0.25240 	0.03773 	-0.05122 	-0.05053 	-0.05553 	-0.03864 	0.00414 	0.20576 	-0.04651 	-0.04462 	0.02314 	-0.04928 	0.08289 	0.03787 	0.00911	0.02581
Replication2	 0.00252	0.99934	0.96820 	0.97193 	0.97593 	0.97682 	0.97236 	0.98820 	0.95721 	0.94854 	0.96461 	0.94849 	0.96439 	0.96407 	-0.12168 	-0.14126 	-0.17284 	0.35340 	0.00135 	0.20406 	-0.11828 	-0.13705 	0.02538 	-0.14363 	0.19382 	0.04128 	-0.03996 	-0.04639 	-0.05676 	-0.04295 	0.00044 	0.20373 	-0.03885 	-0.04501 	0.02559 	-0.04717 	0.06365 	0.04142 	0.01084	0.03030
Replication3	 0.01547	0.99929	0.96364 	0.96966 	0.97473 	0.97445 	0.97030 	0.98723 	0.95645 	0.94781 	0.96557 	0.94748 	0.96827 	0.96448 	-0.16715 	-0.14384 	-0.16441 	0.37123 	0.00000 	0.21308 	-0.15795 	-0.15230 	0.02483 	-0.17493 	0.29201 	0.04092 	-0.05490 	-0.04724 	-0.05400 	-0.03861 	0.00000 	0.21274 	-0.05188 	-0.05002 	0.02505 	-0.05745 	0.09591 	0.04106 	0.01271	0.03596
Replication4	 0.01269	0.99932	0.96202 	0.96706 	0.97242 	0.97227 	0.96631 	0.98562 	0.94454 	0.93453 	0.95344 	0.93489 	0.95250 	0.95289 	-0.14381 	-0.15183 	-0.16724 	0.39914 	0.00000 	0.22821 	-0.16502 	-0.16422 	0.03164 	-0.15116 	0.21085 	0.05134 	-0.04724 	-0.04987 	-0.05493 	-0.04611 	0.00000 	0.22784 	-0.05420 	-0.05394 	0.03187 	-0.04965 	0.06926 	0.05150 	0.01245	0.03503
Replication5	 0.01066	0.99934	0.96309 	0.96859 	0.97440 	0.97358 	0.96842 	0.98677 	0.94853 	0.93773 	0.95766 	0.93731 	0.95822 	0.95687 	-0.15412 	-0.15328 	-0.14936 	0.38212 	0.00472 	0.21739 	-0.14838 	-0.16655 	0.02927 	-0.19323 	0.26278 	0.04776 	-0.05062 	-0.05034 	-0.04906 	-0.04129 	0.00155 	0.21703 	-0.04873 	-0.05470 	0.02950 	-0.06346 	0.08631 	0.04791 	0.01158	0.03269
Replication6	 0.00533	0.99934	0.96464 	0.97009 	0.97509 	0.97472 	0.96932 	0.98733 	0.94950 	0.93958 	0.95823 	0.93934 	0.95833 	0.95754 	-0.14677 	-0.13439 	-0.15405 	0.37254 	0.00000 	0.21220 	-0.15196 	-0.15587 	0.02896 	-0.17279 	0.23575 	0.04716 	-0.04820 	-0.04414 	-0.05059 	-0.04239 	0.00000 	0.21186 	-0.04991 	-0.05119 	0.02918 	-0.05675 	0.07743 	0.04731 	0.01085	0.03023
Replication7	 0.00282	0.99936	0.96451 	0.96885 	0.97500 	0.97429 	0.96999 	0.98719 	0.95433 	0.94467 	0.96310 	0.94538 	0.96458 	0.96221 	-0.14236 	-0.17675 	-0.14807 	0.37438 	0.00141 	0.21350 	-0.14764 	-0.17655 	0.02622 	-0.14773 	0.26195 	0.04296 	-0.04676 	-0.05805 	-0.04863 	-0.04023 	0.00046 	0.21315 	-0.04849 	-0.05799 	0.02644 	-0.04852 	0.08604 	0.04310 	0.00946	0.02667
Replication8	 -1.47415	0.99949	0.96534 	0.97091 	0.97726 	0.97560 	0.97157 	0.98847 	0.95638 	0.94724 	0.96389 	0.94718 	0.96363 	0.96335 	-0.15724 	-0.15631 	-0.12599 	0.36075 	0.00000 	0.20157 	-0.11364 	-0.14272 	0.02578 	-0.15012 	0.19943 	0.04193 	-0.05164 	-0.05134 	-0.04138 	-0.03883 	0.00000 	0.20123 	-0.03732 	-0.04687 	0.02599 	-0.04930 	0.06550 	0.04208 	0.00759	0.02102
Replication9	 0.00452	0.99933	0.97288 	0.97811 	0.98278 	0.98204 	0.98072 	0.99243 	0.97020 	0.96310 	0.97829 	0.96331 	0.98276 	0.97701 	-0.15433 	-0.13325 	-0.12757 	0.29015 	0.04175 	0.16444 	-0.14929 	-0.14705 	0.01772 	-0.14352 	0.30043 	0.02965 	-0.05067 	-0.04375 	-0.04188 	-0.02848 	0.01371 	0.16418 	-0.04902 	-0.04828 	0.01789 	-0.04712 	0.09864 	0.02976 	0.01019	0.02862
Replication10	 0.00236	0.99936	0.96341 	0.96930 	0.97569 	0.97413 	0.96975 	0.98748 	0.95340 	0.94550 	0.96169 	0.94548 	0.96204 	0.96100 	-0.16380 	-0.15744 	-0.13498 	0.37615 	0.00000 	0.21078 	-0.15754 	-0.13534 	0.02701 	-0.14053 	0.21345 	0.04405 	-0.05380 	-0.05171 	-0.04433 	-0.04048 	0.00000 	0.21043 	-0.05174 	-0.04445 	0.02723 	-0.04616 	0.07010 	0.04420 	0.00937	0.02643
